"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:composer)-[:COMPOSED]->(n3:comedy), (n2:music_department)-[:COMPOSED]->(n1:animation) WHERE (n2.death=0) OR (n2.birth=0) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:composer:death_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:death_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:composer:birth_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:composer)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:composer:death_0:birth_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:death_0:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:composer:death_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:death_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:composer:birth_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:composer:death_0:birth_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:death_0:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"10613023";"358541443";"62469.7"
"MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy) WHERE (n3.birth=1899) OR (n1.category=""short"") OR (n3.name=""Robert Agnew"") RETURN count(n1)";"CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"1913";"458843";"426.2"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi) WHERE (n1.birth=1954) OR (n3.category=""movie"") OR (n1.name=""Robert Carradine"") RETURN count(n1)";"CALL () {
  MATCH (n1:actor:birth_1954)-[:ACTED_IN]->(n3:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n4:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n2:sci_fi)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy:movie), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi)
  WHERE n1.name=""Robert Carradine""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:actor:birth_1954)-[:ACTED_IN]->(n3:comedy:movie), (n1:actor:birth_1954)-[:ACTED_IN]->(n4:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n2:sci_fi)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:actor:birth_1954)-[:ACTED_IN]->(n3:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n4:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n2:sci_fi)
  WHERE n1.name=""Robert Carradine""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy:movie), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi)
  WHERE n1.name=""Robert Carradine""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:actor:birth_1954)-[:ACTED_IN]->(n3:comedy:movie), (n1:actor:birth_1954)-[:ACTED_IN]->(n4:comedy), (n1:actor:birth_1954)-[:ACTED_IN]->(n2:sci_fi)
  WHERE n1.name=""Robert Carradine""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"40399613";"317206250";"61650.4"
"MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:reality_tv) WHERE (n3.birth=1964) OR (n2.category=""tvSeries"") OR (n1.year=2011) RETURN count(n1)";"CALL () {
  MATCH (n3:writer:birth_1964)-[:ACTED_IN]->(n2:talk_show), (n3:actor:birth_1964)-[:ACTED_IN]->(n1:reality_tv)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:reality_tv)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:reality_tv:year_2011)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:writer:birth_1964)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor:birth_1964)-[:ACTED_IN]->(n1:reality_tv)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:writer:birth_1964)-[:ACTED_IN]->(n2:talk_show), (n3:actor:birth_1964)-[:ACTED_IN]->(n1:reality_tv:year_2011)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:reality_tv:year_2011)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:writer:birth_1964)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor:birth_1964)-[:ACTED_IN]->(n1:reality_tv:year_2011)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"436203";"26128910";"15739.2"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance) WHERE (n4.category=""movie"") OR (n2.birth=1889) OR (n1.year=1934) RETURN count(n1)";"CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n4:romance)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n1:music:year_1934), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n4:romance)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n1:music:year_1934), (n2:cinematographer:birth_1889)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"636933";"22670181";"4440.9"
"MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.birth=1947) OR (n2.year=1970) OR (n4.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:soundtrack:birth_1947)-[:COMPOSED]->(n4:drama), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n3:biography), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy:year_1970)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:soundtrack:birth_1947)-[:COMPOSED]->(n4:drama), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n3:biography), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n2:comedy:year_1970)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:soundtrack:birth_1947)-[:COMPOSED]->(n4:drama:movie), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n3:biography), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy:year_1970)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:soundtrack:birth_1947)-[:COMPOSED]->(n4:drama:movie), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n3:biography), (n1:soundtrack:birth_1947)-[:COMPOSED]->(n2:comedy:year_1970)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"18469421";"206973236";"30903.9"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n1.year=2013) OR (n1.category=""video"") OR (n3.birth=1977) RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music:year_2013), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music:video), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress:birth_1977)-[:ACTED_IN]->(n2:thriller), (n3:producer:birth_1977)-[:ACTED_IN]->(n1:music), (n3:actress:birth_1977)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music:year_2013:video), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actress:birth_1977)-[:ACTED_IN]->(n2:thriller), (n3:producer:birth_1977)-[:ACTED_IN]->(n1:music:year_2013), (n3:actress:birth_1977)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actress:birth_1977)-[:ACTED_IN]->(n2:thriller), (n3:producer:birth_1977)-[:ACTED_IN]->(n1:music:video), (n3:actress:birth_1977)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actress:birth_1977)-[:ACTED_IN]->(n2:thriller), (n3:producer:birth_1977)-[:ACTED_IN]->(n1:music:year_2013:video), (n3:actress:birth_1977)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"10841582";"69004769";"11926.6"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport) WHERE (n2.category=""tvSpecial"") OR (n3.category=""tvSpecial"") OR (n1.death=0) RETURN count(n1)";"CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n2:sport), (n1:actor:death_0)-[:ACTED_IN]->(n3:sport), (n1:actor:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n2:sport:tvSpecial), (n1:actor:death_0)-[:ACTED_IN]->(n3:sport), (n1:actor:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n2:sport), (n1:actor:death_0)-[:ACTED_IN]->(n3:sport:tvSpecial), (n1:actor:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:producer:death_0)-[:ACTED_IN]->(n2:sport:tvSpecial), (n1:actor:death_0)-[:ACTED_IN]->(n3:sport:tvSpecial), (n1:actor:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"167958126";"1152945133";"179624.8"
"MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show) WHERE (n3.category=""tvSeries"") OR (n2.category=""tvSeries"") OR (n4.name=""Marcel Amont"") RETURN count(n1)";"CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"A";"67%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""short"") OR (n1.category=""tvSeries"") OR (n3.year=2017) RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama:short)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama:year_2017)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama:short)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama:short:year_2017)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama:year_2017)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama:short:year_2017)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"2408451";"67107936";"41494.0"
"MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary) WHERE (n1.death=2021) OR (n3.year=2018) OR (n2.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:miscellaneous:death_2021)-[:ACTED_IN]->(n3:history), (n1:actor:death_2021)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:miscellaneous:death_2021)-[:ACTED_IN]->(n3:history:year_2018), (n1:actor:death_2021)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:miscellaneous:death_2021)-[:ACTED_IN]->(n3:history), (n1:actor:death_2021)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:miscellaneous:death_2021)-[:ACTED_IN]->(n3:history:year_2018), (n1:actor:death_2021)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"28738";"2400034";"1496.0"
"MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama) WHERE (n1.year=1943) OR (n1.category=""movie"") OR (n3.death=1954) RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama:year_1943)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:death_1954)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director:death_1954)-[:ACTED_IN]->(n1:drama)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama:year_1943:movie)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actor:death_1954)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director:death_1954)-[:ACTED_IN]->(n1:drama:year_1943)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actor:death_1954)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director:death_1954)-[:ACTED_IN]->(n1:drama:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actor:death_1954)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director:death_1954)-[:ACTED_IN]->(n1:drama:year_1943:movie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"1826";"1208282";"1130.7"
"MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama) WHERE (n4.death=2006) OR (n2.year=1956) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n4:soundtrack:death_2006)-[:COMPOSED]->(n2:drama), (n4:composer:death_2006)-[:COMPOSED]->(n1:documentary), (n4:composer:death_2006)-[:COMPOSED]->(n3:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama:movie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:soundtrack:death_2006)-[:COMPOSED]->(n2:drama:year_1956), (n4:composer:death_2006)-[:COMPOSED]->(n1:documentary), (n4:composer:death_2006)-[:COMPOSED]->(n3:drama)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:soundtrack:death_2006)-[:COMPOSED]->(n2:drama), (n4:composer:death_2006)-[:COMPOSED]->(n1:documentary), (n4:composer:death_2006)-[:COMPOSED]->(n3:drama:movie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:soundtrack:death_2006)-[:COMPOSED]->(n2:drama:year_1956), (n4:composer:death_2006)-[:COMPOSED]->(n1:documentary), (n4:composer:death_2006)-[:COMPOSED]->(n3:drama:movie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"A OR B OR C";"-";"100%";"73841554";"1157478796";"180153.6"
