"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1)";"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama:year_1985) RETURN count(n1)";"A";"-";"100%";"228372016";"818423091";"92638.3"
"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1)";"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy:year_0), (n4:producer)-[:DIRECTED]->(n1:drama) RETURN count(n1)";"A";"-";"100%";"1179321";"130300920";"14976.2"
"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1)";"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi:year_2001) RETURN count(n1)";"A";"-";"100%";"884";"30090944";"4450.3"
"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1)";"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary:year_1965), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) RETURN count(n1)";"A";"-";"100%";"179184";"125863535";"16088.1"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1)";"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action:year_1977), (n1:music_department)-[:COMPOSED]->(n4:crime) RETURN count(n1)";"A";"-";"100%";"4867524";"76592966";"8716.0"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller:tvMovie), (n2:actor)-[:ACTED_IN]->(n3:drama) RETURN count(n1)";"A";"-";"100%";"557670";"23323883";"3334.1"
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery:movie), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) RETURN count(n1)";"A";"-";"100%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy:movie) RETURN count(n1)";"A";"-";"100%";"537335";"41708134";"6684.3"
"MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1)";"MATCH (n2:actress:birth_1952)-[:ACTED_IN]->(n4:animation), (n2:actress:birth_1952)-[:ACTED_IN]->(n1:animation), (n2:actress:birth_1952)-[:ACTED_IN]->(n3:sci_fi) RETURN count(n1)";"A";"-";"100%";"5478924";"37776857";"4136.4"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1)";"MATCH (n1:producer:death_0)-[:ACTED_IN]->(n4:documentary), (n1:writer:death_0)-[:ACTED_IN]->(n2:music), (n1:producer:death_0)-[:ACTED_IN]->(n3:documentary) RETURN count(n1)";"A";"-";"100%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
