"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"A";"A";"0%";"336";"121785";"183.5"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1)";"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary:year_1997) RETURN count(n1)";"A";"-";"100%";"36015";"1478656";"1045.6"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1)";"MATCH (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n3:drama), (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n1:game_show) RETURN count(n1)";"A AND B";"-";"100%";"2107";"5314889";"609.9"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"MATCH (n3:music_department:birth_1937)-[:COMPOSED]->(n2:documentary), (n3:music_department:birth_1937)-[:COMPOSED]->(n1:documentary:video) WHERE (n3.name=""Philip Glass"") RETURN count(n1)";"A AND B AND C";"A";"67%";"603";"7231";"24.3"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:music), (n2:soundtrack)-[:ACTED_IN]->(n1:music) WHERE (n1.year=1996 AND n2.birth=1947 AND n3.year=1983 AND n2.name=""Elton John"") RETURN count(n1)";"MATCH (n2:soundtrack:birth_1947)-[:ACTED_IN]->(n3:music:year_1983), (n2:soundtrack:birth_1947)-[:ACTED_IN]->(n1:music:year_1996) WHERE (n2.name=""Elton John"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"24";"12829";"33.0"
