kueri asal;kueri numerik;filter pertama
MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action)-[:RELEASED_IN]->(:year_1977), (n1:music_department)-[:COMPOSED]->(n4:crime) RETURN count(n1);MATCH (n1:76,607) -[955,171]-[115,827]-> (n3:293,467), (n1:76,607) -[955,171]-[115,827]-> (n2:293,467) -[293,467]-[22,499]-> (:1), (n1:76,607) -[955,171]-[109,847]-> (n4:312,629) RETURN count(n1);:year_1977
MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller)-[:HAS_CATEGORY]->(:tvMovie), (n2:actor)-[:ACTED_IN]->(n3:drama) RETURN count(n1);MATCH (n2:1,263,984) -[11,460,681]-[472,757]-> (n1:124,666) -[124,666]-[116,975]-> (:1), (n2:1,263,984) -[11,460,681]-[8,160,487]-> (n3:1,984,332) RETURN count(n1);:tvMovie
MATCH (n4:composer)-[:COMPOSED]->(n3:mystery)-[:HAS_CATEGORY]->(:movie), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) RETURN count(n1);MATCH (n4:248,066) -[1,413,197]-[55,619]-> (n3:149,470) -[149,470]-[492,210]-> (:1), (n4:248,066) -[1,413,197]-[334,011]-> (n2:1,479,294), (n4:76,607) -[955,171]-[531,594]-> (n1:1,984,332) RETURN count(n1);:movie
MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);MATCH (n3:767,812) -[8,169,427]-[5,776,115]-> (n1:1,479,294), (n3:613,186) -[3,852,407]-[472,757]-> (n4:124,666), (n3:99,799) -[3,260,775]-[559,487]-> (n2:155,302) -[155,302]-[492,210]-> (:1) RETURN count(n1);:movie
MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) , (n2:actress)-[:BORN_IN]->(:year_1952) RETURN count(n1);MATCH (n2:767,812) -[8,169,427]-[1,017,184]-> (n4:330,135), (n2:767,812) -[8,169,427]-[1,017,184]-> (n1:330,135), (n2:767,812) -[8,169,427]-[325,339]-> (n3:89,121) , (n2:767,812) -[767,812]-[3,470]-> (:1) RETURN count(n1);:year_1952
MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) , (n1:producer)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n1:613,186) -[3,852,407]-[827,125]-> (n4:618,520), (n1:683,795) -[3,960,419]-[1,199,835]-> (n2:356,267), (n1:613,186) -[3,852,407]-[827,125]-> (n3:618,520) , (n1:613,186) -[613,186]-[3,453,973]-> (:1) RETURN count(n1);:year_0
MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) , (n2:actor)-[:DIED_IN]->(:year_2009), (n2:actor)-[:BORN_IN]->(:year_1923) RETURN count(n1);MATCH (n2:1,263,984) -[11,460,681]-[8,160,487]-> (n3:1,984,332), (n2:1,263,984) -[11,460,681]-[763,616]-> (n1:225,632) , (n2:1,263,984) -[1,263,984]-[2,711]-> (:1), (n2:1,263,984) -[1,263,984]-[2,688]-> (:1) RETURN count(n1);:year_2009
MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1987) , (n1:actress)-[:BORN_IN]->(:year_1957) RETURN count(n1);MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332), (n1:767,812) -[8,169,427]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[31,942]-> (:1) , (n1:767,812) -[767,812]-[3,677]-> (:1) RETURN count(n1);:year_1987
MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport)-[:RELEASED_IN]->(:year_1950) , (n4:music_department)-[:BORN_IN]->(:year_1911) RETURN count(n1);MATCH (n4:76,607) -[955,171]-[152,376]-> (n2:618,520), (n4:99,799) -[628,532]-[152,376]-> (n1:618,520), (n4:99,799) -[628,532]-[16,167]-> (n3:137,057) -[137,057]-[5,763]-> (:1) , (n4:76,607) -[76,607]-[1,754]-> (:1) RETURN count(n1);:year_1950
MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation)-[:HAS_CATEGORY]->(:short) , (n3:producer)-[:BORN_IN]->(:year_1905) RETURN count(n1);MATCH (n3:613,186) -[1,743,713]-[304,392]-> (n1:330,135), (n3:560,717) -[4,398,352]-[304,392]-> (n2:330,135) -[330,135]-[639,766]-> (:1) , (n3:613,186) -[613,186]-[1,540]-> (:1) RETURN count(n1);:short
