kueri asal;kueri numerik;filter pertama
MATCH (n3:producer)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:movie), (n3:director)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1988) , (n3:producer)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n3:613,186) -[3,852,407]-[8,160,487]-> (n1:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:560,717) -[2,315,792]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[32,144]-> (:1) , (n3:613,186) -[613,186]-[3,453,973]-> (:1) RETURN count(n1);:movie
MATCH (n1:actress)-[:ACTED_IN]->(n3:drama)-[:RELEASED_IN]->(:year_2010), (n1:actress)-[:ACTED_IN]->(n2:mystery)-[:HAS_CATEGORY]->(:movie) , (n1:actress)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332) -[1,984,332]-[201,811]-> (:1), (n1:767,812) -[8,169,427]-[589,673]-> (n2:149,470) -[149,470]-[492,210]-> (:1) , (n1:767,812) -[767,812]-[3,453,973]-> (:1) RETURN count(n1);:year_2010
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama)-[:RELEASED_IN]->(:year_1973), (n3:actor)-[:DIRECTED]->(n1:drama) , (n2:drama)-[:HAS_CATEGORY]->(:movie) WHERE (n3.name=""Hasan El-Emam"") RETURN count(n1)";"MATCH (n3:1,263,984) -[749,294]-[2,082,743]-> (n2:1,984,332) -[1,984,332]-[23,934]-> (:1), (n3:1,263,984) -[749,294]-[2,082,743]-> (n1:1,984,332) , (n2:1,984,332) -[1,984,332]-[492,210]-> (:1) WHERE (n3.name=""Hasan El-Emam"") RETURN count(n1)";:year_1973
MATCH (n1:actress)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1958), (n1:actress)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:tvMovie) , (n3:drama)-[:RELEASED_IN]->(:year_1962) RETURN count(n1);MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[13,055]-> (:1), (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332) -[1,984,332]-[116,975]-> (:1) , (n3:1,984,332) -[1,984,332]-[13,589]-> (:1) RETURN count(n1);:year_1958
MATCH (n4:actor)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1935), (n4:soundtrack)-[:WROTE]->(n3:drama)-[:HAS_CATEGORY]->(:short), (n4:director)-[:DIRECTED]->(n1:drama)-[:RELEASED_IN]->(:year_1913) RETURN count(n1);MATCH (n4:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[2,304]-> (:1), (n4:99,799) -[142,990]-[2,854,122]-> (n3:1,984,332) -[1,984,332]-[639,766]-> (:1), (n4:560,717) -[4,398,352]-[2,082,743]-> (n1:1,984,332) -[1,984,332]-[6,658]-> (:1) RETURN count(n1);:year_1935
MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n4:documentary)-[:RELEASED_IN]->(:year_2005), (n1:actor)-[:ACTED_IN]->(n3:documentary)-[:RELEASED_IN]->(:year_2016) , (n1:actor)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332), (n1:1,263,984) -[11,460,681]-[827,125]-> (n4:618,520) -[618,520]-[124,040]-> (:1), (n1:1,263,984) -[11,460,681]-[827,125]-> (n3:618,520) -[618,520]-[315,054]-> (:1) , (n1:1,263,984) -[1,263,984]-[3,453,973]-> (:1) RETURN count(n1);:year_2005
MATCH (n4:director)-[:DIRECTED]->(n3:adult), (n4:cinematographer)-[:DIRECTED]->(n1:adult)-[:RELEASED_IN]->(:year_2005), (n4:writer)-[:CINEMATOGRAPHER_OF]->(n2:adult)-[:RELEASED_IN]->(:year_2002) , (n4:director)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n4:560,717) -[4,398,352]-[73,531]-> (n3:222,819), (n4:284,302) -[352,706]-[73,531]-> (n1:222,819) -[222,819]-[124,040]-> (:1), (n4:683,795) -[78,420]-[9,538]-> (n2:222,819) -[222,819]-[82,362]-> (:1) , (n4:560,717) -[560,717]-[3,453,973]-> (:1) RETURN count(n1);:year_2005
MATCH (n2:producer)-[:ACTED_IN]->(n3:romance)-[:RELEASED_IN]->(:year_1999), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy)-[:RELEASED_IN]->(:year_2019), (n2:actor)-[:ACTED_IN]->(n4:comedy)-[:RELEASED_IN]->(:year_2008) RETURN count(n1);MATCH (n2:613,186) -[3,852,407]-[2,907,409]-> (n3:644,609) -[644,609]-[68,290]-> (:1), (n2:228,889) -[1,338,470]-[5,776,115]-> (n1:1,479,294) -[1,479,294]-[293,391]-> (:1), (n2:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) -[1,479,294]-[166,310]-> (:1) RETURN count(n1);:year_1999
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:music)-[:RELEASED_IN]->(:year_1983), (n2:soundtrack)-[:ACTED_IN]->(n1:music)-[:RELEASED_IN]->(:year_1996) , (n2:soundtrack)-[:BORN_IN]->(:year_1947) WHERE (n2.name=""Elton John"") RETURN count(n1)";"MATCH (n2:99,799) -[3,260,775]-[1,199,835]-> (n3:356,267) -[356,267]-[25,930]-> (:1), (n2:99,799) -[3,260,775]-[1,199,835]-> (n1:356,267) -[356,267]-[54,464]-> (:1) , (n2:99,799) -[99,799]-[4,050]-> (:1) WHERE (n2.name=""Elton John"") RETURN count(n1)";:year_1983
"MATCH (n1:actress)-[:ACTED_IN]->(n2:adult)-[:RELEASED_IN]->(:year_1993), (n1:actress)-[:ACTED_IN]->(n3:adult)-[:RELEASED_IN]->(:year_1990) , (n1:actress)-[:BORN_IN]->(:year_1968) WHERE (n1.name=""Kim Angeli"") RETURN count(n1)";"MATCH (n1:767,812) -[8,169,427]-[783,767]-> (n2:222,819) -[222,819]-[41,693]-> (:1), (n1:767,812) -[8,169,427]-[783,767]-> (n3:222,819) -[222,819]-[36,334]-> (:1) , (n1:767,812) -[767,812]-[4,830]-> (:1) WHERE (n1.name=""Kim Angeli"") RETURN count(n1)";:year_1993
"MATCH (n3:writer)-[:WROTE]->(n2:animation)-[:RELEASED_IN]->(:year_1978), (n3:writer)-[:WROTE]->(n4:drama)-[:RELEASED_IN]->(:year_1960), (n3:writer)-[:WROTE]->(n1:adventure) , (n3:writer)-[:BORN_IN]->(:year_0) WHERE (n3.name=""Aleksandr Antokolsky"") RETURN count(n1)";"MATCH (n3:683,795) -[5,319,043]-[395,706]-> (n2:330,135) -[330,135]-[22,332]-> (:1), (n3:683,795) -[5,319,043]-[2,854,122]-> (n4:1,984,332) -[1,984,332]-[14,415]-> (:1), (n3:683,795) -[5,319,043]-[398,140]-> (n1:273,401) , (n3:683,795) -[683,795]-[3,209,521]-> (:1) WHERE (n3.name=""Aleksandr Antokolsky"") RETURN count(n1)";:year_1978
MATCH (n3:actor)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1980), (n3:actor)-[:ACTED_IN]->(n1:drama)-[:RELEASED_IN]->(:year_1992) , (n2:drama)-[:HAS_CATEGORY]->(:movie), (n3:actor)-[:BORN_IN]->(:year_1937) RETURN count(n1);MATCH (n3:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[24,492]-> (:1), (n3:1,263,984) -[11,460,681]-[8,160,487]-> (n1:1,984,332) -[1,984,332]-[39,291]-> (:1) , (n2:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:1,263,984) -[1,263,984]-[3,043]-> (:1) RETURN count(n1);:year_1980
MATCH (n1:actor)-[:ACTED_IN]->(n2:romance), (n1:actor)-[:ACTED_IN]->(n4:war)-[:RELEASED_IN]->(:year_1929), (n1:actor)-[:ACTED_IN]->(n3:comedy)-[:HAS_CATEGORY]->(:movie) , (n3:comedy)-[:RELEASED_IN]->(:year_1927), (n1:actor)-[:BORN_IN]->(:year_1895) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[2,907,409]-> (n2:644,609), (n1:1,263,984) -[11,460,681]-[95,675]-> (n4:26,911) -[26,911]-[2,800]-> (:1), (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n3:1,479,294) -[1,479,294]-[492,210]-> (:1) , (n3:1,479,294) -[1,479,294]-[2,671]-> (:1), (n1:1,263,984) -[1,263,984]-[1,104]-> (:1) RETURN count(n1);:year_1929
"MATCH (n2:actor)-[:DIRECTED]->(n1:biography)-[:HAS_CATEGORY]->(:movie), (n2:actor)-[:DIRECTED]->(n3:romance)-[:RELEASED_IN]->(:year_1936) , (n2:actor)-[:BORN_IN]->(:year_1904) WHERE (n2.name=""Goffredo Alessandrini"") RETURN count(n1)";"MATCH (n2:1,263,984) -[749,294]-[59,948]-> (n1:76,749) -[76,749]-[492,210]-> (:1), (n2:1,263,984) -[749,294]-[759,546]-> (n3:644,609) -[644,609]-[2,599]-> (:1) , (n2:1,263,984) -[1,263,984]-[1,625]-> (:1) WHERE (n2.name=""Goffredo Alessandrini"") RETURN count(n1)";:movie
MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:movie), (n3:soundtrack)-[:ACTED_IN]->(n2:action)-[:RELEASED_IN]->(:year_1948) , (n3:soundtrack)-[:DIED_IN]->(:year_1954), (n3:soundtrack)-[:BORN_IN]->(:year_1878) RETURN count(n1);MATCH (n3:99,799) -[3,260,775]-[8,160,487]-> (n1:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:99,799) -[3,260,775]-[1,230,882]-> (n2:293,467) -[293,467]-[2,970]-> (:1) , (n3:99,799) -[99,799]-[603]-> (:1), (n3:99,799) -[99,799]-[572]-> (:1) RETURN count(n1);:movie
MATCH (n2:writer)-[:ACTED_IN]->(n1:comedy)-[:RELEASED_IN]->(:year_1975), (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:ACTED_IN]->(n4:sci_fi)-[:HAS_CATEGORY]->(:short) , (n2:writer)-[:BORN_IN]->(:year_1941), (n2:writer)-[:DIED_IN]->(:year_2015) RETURN count(n1);MATCH (n2:683,795) -[3,960,419]-[5,776,115]-> (n1:1,479,294) -[1,479,294]-[23,033]-> (:1), (n2:560,717) -[2,315,792]-[5,776,115]-> (n3:1,479,294), (n2:1,263,984) -[11,460,681]-[325,339]-> (n4:89,121) -[89,121]-[639,766]-> (:1) , (n2:683,795) -[683,795]-[3,263]-> (:1), (n2:683,795) -[683,795]-[3,116]-> (:1) RETURN count(n1);:year_1975
MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary)-[:HAS_CATEGORY]->(:video), (n2:actor)-[:ACTED_IN]->(n1:action)-[:HAS_CATEGORY]->(:video) , (n2:soundtrack)-[:DIED_IN]->(:year_2009), (n2:soundtrack)-[:BORN_IN]->(:year_1933) RETURN count(n1);MATCH (n2:99,799) -[3,260,775]-[827,125]-> (n3:618,520) -[618,520]-[265,757]-> (:1), (n2:1,263,984) -[11,460,681]-[1,230,882]-> (n1:293,467) -[293,467]-[265,757]-> (:1) , (n2:99,799) -[99,799]-[2,711]-> (:1), (n2:99,799) -[99,799]-[2,754]-> (:1) RETURN count(n1);:video
MATCH (n2:director)-[:DIRECTED]->(n1:adult)-[:HAS_CATEGORY]->(:video), (n2:editor)-[:DIRECTED]->(n3:adult)-[:HAS_CATEGORY]->(:video) , (n1:adult)-[:RELEASED_IN]->(:year_1996), (n2:director)-[:BORN_IN]->(:year_0) RETURN count(n1);MATCH (n2:560,717) -[4,398,352]-[73,531]-> (n1:222,819) -[222,819]-[265,757]-> (:1), (n2:257,000) -[449,208]-[73,531]-> (n3:222,819) -[222,819]-[265,757]-> (:1) , (n1:222,819) -[222,819]-[54,464]-> (:1), (n2:560,717) -[560,717]-[3,209,521]-> (:1) RETURN count(n1);:video
MATCH (n3:director)-[:ACTED_IN]->(n2:crime)-[:HAS_CATEGORY]->(:movie), (n3:director)-[:ACTED_IN]->(n4:crime), (n3:director)-[:ACTED_IN]->(n1:documentary)-[:HAS_CATEGORY]->(:tvShort) , (n3:director)-[:BORN_IN]->(:year_1962), (n1:documentary)-[:RELEASED_IN]->(:year_1985) RETURN count(n1);MATCH (n3:560,717) -[2,315,792]-[1,264,641]-> (n2:312,629) -[312,629]-[492,210]-> (:1), (n3:560,717) -[2,315,792]-[1,264,641]-> (n4:312,629), (n3:560,717) -[2,315,792]-[827,125]-> (n1:618,520) -[618,520]-[7,633]-> (:1) , (n3:560,717) -[560,717]-[4,281]-> (:1), (n1:618,520) -[618,520]-[29,538]-> (:1) RETURN count(n1);:movie
"MATCH (n3:producer)-[:ACTED_IN]->(n1:western), (n3:producer)-[:ACTED_IN]->(n2:western)-[:HAS_CATEGORY]->(:short) , (n2:western)-[:RELEASED_IN]->(:year_1910), (n3:producer)-[:DIED_IN]->(:year_1971) WHERE (n3.name=""Gilbert M. 'Broncho Billy' Anderson"") RETURN count(n1)";"MATCH (n3:613,186) -[3,852,407]-[112,634]-> (n1:26,970), (n3:613,186) -[3,852,407]-[112,634]-> (n2:26,970) -[26,970]-[639,766]-> (:1) , (n2:26,970) -[26,970]-[3,112]-> (:1), (n3:613,186) -[613,186]-[1,110]-> (:1) WHERE (n3.name=""Gilbert M. 'Broncho Billy' Anderson"") RETURN count(n1)";:short
"MATCH (n2:producer)-[:PRODUCED]->(n3:music)-[:HAS_CATEGORY]->(:tvSpecial), (n2:editorial_department)-[:DIRECTED]->(n1:documentary) , (n3:music)-[:RELEASED_IN]->(:year_2011), (n2:producer)-[:DIED_IN]->(:year_0) WHERE (n2.name=""Bob Sarles"") RETURN count(n1)";"MATCH (n2:613,186) -[2,464,941]-[97,101]-> (n3:356,267) -[356,267]-[26,082]-> (:1), (n2:63,380) -[76,548]-[435,655]-> (n1:618,520) , (n3:356,267) -[356,267]-[230,219]-> (:1), (n2:613,186) -[613,186]-[3,453,973]-> (:1) WHERE (n2.name=""Bob Sarles"") RETURN count(n1)";:tvSpecial
"MATCH (n3:actor)-[:ACTED_IN]->(n2:comedy)-[:RELEASED_IN]->(:year_2010), (n3:soundtrack)-[:ACTED_IN]->(n4:comedy)-[:HAS_CATEGORY]->(:short), (n3:producer)-[:ACTED_IN]->(n1:family) , (n3:actor)-[:DIED_IN]->(:year_0) WHERE (n3.name=""Neil Patrick Harris"") RETURN count(n1)";"MATCH (n3:1,263,984) -[11,460,681]-[5,776,115]-> (n2:1,479,294) -[1,479,294]-[201,811]-> (:1), (n3:99,799) -[3,260,775]-[5,776,115]-> (n4:1,479,294) -[1,479,294]-[639,766]-> (:1), (n3:613,186) -[3,852,407]-[1,745,818]-> (n1:489,281) , (n3:1,263,984) -[1,263,984]-[3,453,973]-> (:1) WHERE (n3.name=""Neil Patrick Harris"") RETURN count(n1)";:year_2010
MATCH (n2:actor)-[:ACTED_IN]->(n1:action)-[:HAS_CATEGORY]->(:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:action)-[:HAS_CATEGORY]->(:tvMovie) , (n3:action)-[:RELEASED_IN]->(:year_1961), (n1:action)-[:RELEASED_IN]->(:year_1937) RETURN count(n1);MATCH (n2:1,263,984) -[11,460,681]-[1,230,882]-> (n1:293,467) -[293,467]-[492,210]-> (:1), (n2:99,799) -[3,260,775]-[1,230,882]-> (n3:293,467) -[293,467]-[116,975]-> (:1) , (n3:293,467) -[293,467]-[14,725]-> (:1), (n1:293,467) -[293,467]-[2,809]-> (:1) RETURN count(n1);:movie
"MATCH (n4:director)-[:DIRECTED]->(n1:comedy)-[:RELEASED_IN]->(:year_1972), (n4:writer)-[:DIRECTED]->(n2:drama), (n4:writer)-[:DIRECTED]->(n3:drama) , (n4:director)-[:DIED_IN]->(:year_1995), (n4:director)-[:BORN_IN]->(:year_1926) WHERE (n4.name=""Silvio Amadio"") RETURN count(n1)";"MATCH (n4:560,717) -[4,398,352]-[1,126,831]-> (n1:1,479,294) -[1,479,294]-[22,670]-> (:1), (n4:683,795) -[1,853,560]-[2,082,743]-> (n2:1,984,332), (n4:683,795) -[1,853,560]-[2,082,743]-> (n3:1,984,332) , (n4:560,717) -[560,717]-[1,878]-> (:1), (n4:560,717) -[560,717]-[2,940]-> (:1) WHERE (n4.name=""Silvio Amadio"") RETURN count(n1)";:year_1972
MATCH (n3:actor)-[:ACTED_IN]->(n2:music)-[:RELEASED_IN]->(:year_2018), (n3:composer)-[:ACTED_IN]->(n1:documentary)-[:RELEASED_IN]->(:year_2006), (n3:soundtrack)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:music)-[:RELEASED_IN]->(:year_2008) , (n3:actor)-[:DIED_IN]->(:year_0) RETURN count(n1);MATCH (n3:1,263,984) -[11,460,681]-[1,199,835]-> (n2:356,267) -[356,267]-[309,713]-> (:1), (n3:248,066) -[477,897]-[827,125]-> (n1:618,520) -[618,520]-[139,569]-> (:1), (n3:99,799) -[52,102]-[17,184]-> (n4:356,267) -[356,267]-[166,310]-> (:1) , (n3:1,263,984) -[1,263,984]-[3,453,973]-> (:1) RETURN count(n1);:year_2018
"MATCH (n2:director)-[:ACTED_IN]->(n3:documentary)-[:HAS_CATEGORY]->(:tvSeries), (n2:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:adventure)-[:HAS_CATEGORY]->(:movie), (n2:director)-[:ACTED_IN]->(n1:talk_show) , (n2:director)-[:DIED_IN]->(:year_2016) WHERE (n2.name=""Robert Vaughn"") RETURN count(n1)";"MATCH (n2:560,717) -[2,315,792]-[827,125]-> (n3:618,520) -[618,520]-[162,227]-> (:1), (n2:1,263,984) -[88,930]-[3,497]-> (n4:273,401) -[273,401]-[492,210]-> (:1), (n2:560,717) -[2,315,792]-[1,979,368]-> (n1:773,293) , (n2:560,717) -[560,717]-[3,218]-> (:1) WHERE (n2.name=""Robert Vaughn"") RETURN count(n1)";:tvSeries
"MATCH (n3:writer)-[:PRODUCED]->(n1:thriller)-[:HAS_CATEGORY]->(:tvMovie), (n3:production_manager)-[:PRODUCED]->(n4:drama)-[:HAS_CATEGORY]->(:movie), (n3:writer)-[:PRODUCED]->(n2:comedy)-[:RELEASED_IN]->(:year_1999) WHERE (n3.name=""Dieter Ulrich Aselmann"") RETURN count(n1)";"MATCH (n3:683,795) -[607,136]-[79,100]-> (n1:124,666) -[124,666]-[116,975]-> (:1), (n3:51,119) -[338,896]-[996,207]-> (n4:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:683,795) -[607,136]-[583,231]-> (n2:1,479,294) -[1,479,294]-[68,290]-> (:1) WHERE (n3.name=""Dieter Ulrich Aselmann"") RETURN count(n1)";:tvMovie
"MATCH (n3:writer)-[:ACTED_IN]->(n4:documentary)-[:HAS_CATEGORY]->(:tvMovie), (n3:actor)-[:PRODUCED]->(n1:thriller)-[:HAS_CATEGORY]->(:movie), (n3:writer)-[:ACTED_IN]->(n2:documentary)-[:HAS_CATEGORY]->(:video) WHERE (n3.name=""Ilya Salkind"") RETURN count(n1)";"MATCH (n3:683,795) -[3,960,419]-[827,125]-> (n4:618,520) -[618,520]-[116,975]-> (:1), (n3:1,263,984) -[274,473]-[79,100]-> (n1:124,666) -[124,666]-[492,210]-> (:1), (n3:683,795) -[3,960,419]-[827,125]-> (n2:618,520) -[618,520]-[265,757]-> (:1) WHERE (n3.name=""Ilya Salkind"") RETURN count(n1)";:tvMovie
