;;;;validasi
total unique value baseline;537;total label baru;537;True
total node category;6342088;total relationship has_category;6342088;True
total node year;6342088;total relationship released_in;6342088;True
total node birth;3583257;total relationship born_in;3583257;True
total node death;3583257;total relationship died_in;3583257;True
total node baseline;19850690;total relationship baru;19850690;True

category type;jumlah category type;nama label baru;jumlah relationship;validasi;;year type;jumlah year type;nama label baru;jumlah relationship;validasi;;birth type;jumlah birth type;nama label baru;jumlah relationship;validasi;;death type;jumlah death type;nama label baru;jumlah relationship;validasi;;year,death,birth type;Jumlah year,death,birth type;jumlah relationship;validasi
;;;;;;;;;;;;1510;2;year_1510;2;True;;1594;1;year_1594;1;True;;1677;4;4;True
;;;;;;;;;;;;1714;2;year_1714;2;True;;1784;1;year_1784;1;True;;1768;4;4;True
;;;;;;;;;;;;1757;2;year_1757;2;True;;1807;1;year_1807;1;True;;1751;4;4;True
;;;;;;;;;;;;1764;2;year_1764;2;True;;1732;1;year_1732;1;True;;1618;4;4;True
;;;;;;;;;;;;1671;2;year_1671;2;True;;1613;1;year_1613;1;True;;1585;4;4;True
;;;;;;;;;;;;1688;2;year_1688;2;True;;1793;1;year_1793;1;True;;2026;4;4;True
;;;;;;;;;;;;1584;2;year_1584;2;True;;1774;1;year_1774;1;True;;1564;3;3;True
;;;;;;;;;;;;1640;2;year_1640;2;True;;1220;1;year_1220;1;True;;1773;3;3;True
;;;;;;;;;;;;1653;2;year_1653;2;True;;1771;1;year_1771;1;True;;1756;3;3;True
;;;;;;;;;;;;1668;2;year_1668;2;True;;1584;1;year_1584;1;True;;1698;3;3;True
;;;;;;;;;;;;1713;2;year_1713;2;True;;1676;1;year_1676;1;True;;1631;3;3;True
;;;;;;;;;;;;1717;2;year_1717;2;True;;1693;1;year_1693;1;True;;1776;3;3;True
;;;;;;;;;;;;1622;2;year_1622;2;True;;1747;1;year_1747;1;True;;1400;3;3;True
;;;;;;;;;;;;1697;2;year_1697;2;True;;1558;1;year_1558;1;True;;1747;3;3;True
;;;;;;;;;;;;1440;2;year_1440;2;True;;1773;1;year_1773;1;True;;1639;3;3;True
;;;;;;;;;;;;1780;2;year_1780;2;True;;1527;1;year_1527;1;True;;1780;3;3;True
;;;;;;;;;;;;1674;2;year_1674;2;True;;1841;1;year_1841;1;True;;1711;3;3;True
;;;;;;;;;;;;1639;2;year_1639;2;True;;1781;1;year_1781;1;True;;1757;3;3;True
;;;;;;;;;;;;1628;2;year_1628;2;True;;1669;1;year_1669;1;True;;1763;3;3;True
;;;;;;;;;;;;1781;2;year_1781;2;True;;1637;1;year_1637;1;True;;1584;3;3;True
;;;;;;;;;;;;1734;2;year_1734;2;True;;95;1;year_95;1;True;;1640;3;3;True
;;;;;;;;;;;;1641;2;year_1641;2;True;;1818;1;year_1818;1;True;;1740;3;3;True
;;;;;;;;;;;;1743;2;year_1743;2;True;;1471;1;year_1471;1;True;;1713;3;3;True
;;;;;;;;;;;;1652;2;year_1652;2;True;;1479;1;year_1479;1;True;;1668;3;3;True
;;;;;;;;;;;;2017;2;year_2017;2;True;;1728;1;year_1728;1;True;;1787;3;3;True
;;;;;;;;;;;;1754;2;year_1754;2;True;;1031;1;year_1031;1;True;;1729;3;3;True
;;;;;;;;;;;;1670;2;year_1670;2;True;;1782;1;year_1782;1;True;;1697;3;3;True
;;;;;;;;;;;;1619;2;year_1619;2;True;;1593;1;year_1593;1;True;;1783;3;3;True
;;;;;;;;;;;;1494;2;year_1494;2;True;;1601;1;year_1601;1;True;;1781;3;3;True
;;;;;;;;;;;;1583;2;year_1583;2;True;;1674;1;year_1674;1;True;;1739;3;3;True
;;;;;;;;;;;;1724;2;year_1724;2;True;;1698;1;year_1698;1;True;;1674;3;3;True
;;;;;;;;;;;;1769;2;year_1769;2;True;;1673;1;year_1673;1;True;;1724;3;3;True
;;;;;;;;;;;;1492;2;year_1492;2;True;;1541;1;year_1541;1;True;;1726;3;3;True
;;;;;;;;;;;;1568;2;year_1568;2;True;;1815;1;year_1815;1;True;;1641;3;3;True
;;;;;;;;;;;;1474;1;year_1474;1;True;;65;1;year_65;1;True;;1735;3;3;True
;;;;;;;;;;;;1542;1;year_1542;1;True;;1706;1;year_1706;1;True;;1550;3;3;True
;;;;;;;;;;;;1343;1;year_1343;1;True;;1645;1;year_1645;1;True;;1758;3;3;True
;;;;;;;;;;;;1180;1;year_1180;1;True;;1699;1;year_1699;1;True;;1746;3;3;True
;;;;;;;;;;;;1563;1;year_1563;1;True;;1273;1;year_1273;1;True;;2028;3;3;True
;;;;;;;;;;;;1508;1;year_1508;1;True;;1630;1;year_1630;1;True;;1547;2;2;True
;;;;;;;;;;;;1493;1;year_1493;1;True;;1724;1;year_1724;1;True;;1553;2;2;True
;;;;;;;;;;;;1543;1;year_1543;1;True;;1463;1;year_1463;1;True;;1572;2;2;True
;;;;;;;;;;;;1586;1;year_1586;1;True;;1448;1;year_1448;1;True;;1712;2;2;True
;;;;;;;;;;;;1283;1;year_1283;1;True;;1745;1;year_1745;1;True;;1543;2;2;True
;;;;;;;;;;;;1600;1;year_1600;1;True;;66;1;year_66;1;True;;1678;2;2;True
;;;;;;;;;;;;1621;1;year_1621;1;True;;1761;1;year_1761;1;True;;1579;2;2;True
;;;;;;;;;;;;1503;1;year_1503;1;True;;1191;1;year_1191;1;True;;1623;2;2;True
;;;;;;;;;;;;1313;1;year_1313;1;True;;1595;1;year_1595;1;True;;1710;2;2;True
;;;;;;;;;;;;1715;1;year_1715;1;True;;1767;1;year_1767;1;True;;1510;2;2;True
;;;;;;;;;;;;1265;1;year_1265;1;True;;1604;1;year_1604;1;True;;1714;2;2;True
;;;;;;;;;;;;1468;1;year_1468;1;True;;1611;1;year_1611;1;True;;1681;2;2;True
;;;;;;;;;;;;1660;1;year_1660;1;True;;1638;1;year_1638;1;True;;1695;2;2;True
;;;;;;;;;;;;1606;1;year_1606;1;True;;1720;1;year_1720;1;True;;1671;2;2;True
;;;;;;;;;;;;1763;1;year_1763;1;True;;1768;1;year_1768;1;True;;1723;2;2;True
;;;;;;;;;;;;1530;1;year_1530;1;True;;1581;1;year_1581;1;True;;1529;2;2;True
;;;;;;;;;;;;1748;1;year_1748;1;True;;1431;1;year_1431;1;True;;1468;2;2;True
;;;;;;;;;;;;1560;1;year_1560;1;True;;1679;1;year_1679;1;True;;1653;2;2;True
;;;;;;;;;;;;1730;1;year_1730;1;True;;1718;1;year_1718;1;True;;1684;2;2;True
;;;;;;;;;;;;1561;1;year_1561;1;True;;1790;1;year_1790;1;True;;1733;2;2;True
;;;;;;;;;;;;1150;1;year_1150;1;True;;1655;1;year_1655;1;True;;1717;2;2;True
;;;;;;;;;;;;1716;1;year_1716;1;True;;235;1;year_235;1;True;;1627;2;2;True
;;;;;;;;;;;;1504;1;year_1504;1;True;;165;1;year_165;1;True;;1771;2;2;True
;;;;;;;;;;;;1787;1;year_1787;1;True;;122;1;year_122;1;True;;1622;2;2;True
;;;;;;;;;;;;1634;1;year_1634;1;True;;1179;1;year_1179;1;True;;1693;2;2;True
;;;;;;;;;;;;1684;1;year_1684;1;True;;1736;1;year_1736;1;True;;17;2;2;True
;;;;;;;;;;;;1529;1;year_1529;1;True;;1757;1;year_1757;1;True;;1558;2;2;True
;;;;;;;;;;;;59;1;year_59;1;True;;1521;1;year_1521;1;True;;1700;2;2;True
;;;;;;;;;;;;1629;1;year_1629;1;True;;840;1;year_840;1;True;;1745;2;2;True
;;;;;;;;;;;;1562;1;year_1562;1;True;;1585;1;year_1585;1;True;;1643;2;2;True
;;;;;;;;;;;;1485;1;year_1485;1;True;;1361;1;year_1361;1;True;;95;2;2;True
;;;;;;;;;;;;1330;1;year_1330;1;True;;1569;1;year_1569;1;True;;1440;2;2;True
;;;;;;;;;;;;1700;1;year_1700;1;True;;1701;1;year_1701;1;True;;1728;2;2;True
;;;;;;;;;;;;1745;1;year_1745;1;True;;1519;1;year_1519;1;True;;1593;2;2;True
;;;;;;;;;;;;1469;1;year_1469;1;True;;1694;1;year_1694;1;True;;1706;2;2;True
;;;;;;;;;;;;1760;1;year_1760;1;True;;1468;1;year_1468;1;True;;1645;2;2;True
;;;;;;;;;;;;1729;1;year_1729;1;True;;1609;1;year_1609;1;True;;1664;2;2;True
;;;;;;;;;;;;1618;1;year_1618;1;True;;1571;1;year_1571;1;True;;1431;2;2;True
;;;;;;;;;;;;37;1;year_37;1;True;;1614;1;year_1614;1;True;;1703;2;2;True
;;;;;;;;;;;;1414;1;year_1414;1;True;;1556;1;year_1556;1;True;;1628;2;2;True
;;;;;;;;;;;;1693;1;year_1693;1;True;;1725;1;year_1725;1;True;;1694;2;2;True
;;;;;;;;;;;;1656;1;year_1656;1;True;;1408;1;year_1408;1;True;;1734;2;2;True
;;;;;;;;;;;;973;1;year_973;1;True;;1632;1;year_1632;1;True;;1743;2;2;True
;;;;;;;;;;;;1686;1;year_1686;1;True;;1549;1;year_1549;1;True;;1652;2;2;True
;;;;;;;;;;;;1608;1;year_1608;1;True;;1819;1;year_1819;1;True;;1604;2;2;True
;;;;;;;;;;;;1739;1;year_1739;1;True;;1470;1;year_1470;1;True;;1549;2;2;True
;;;;;;;;;;;;1771;1;year_1771;1;True;;1755;1;year_1755;1;True;;1581;2;2;True
;;;;;;;;;;;;1465;1;year_1465;1;True;;1672;1;year_1672;1;True;;1670;2;2;True
;;;;;;;;;;;;4;1;year_4;1;True;;27;1;year_27;1;True;;1619;2;2;True
;;;;;;;;;;;;1659;1;year_1659;1;True;;1540;1;year_1540;1;True;;140;2;2;True
;;;;;;;;;;;;1635;1;year_1635;1;True;;485;1;year_485;1;True;;1494;2;2;True
;;;;;;;;;;;;1207;1;year_1207;1;True;;1602;1;year_1602;1;True;;1569;2;2;True
;;;;;;;;;;;;1664;1;year_1664;1;True;;1800;1;year_1800;1;True;;1583;2;2;True
;;;;;;;;;;;;1431;1;year_1431;1;True;;1640;1;year_1640;1;True;;1769;2;2;True
;;;;;;;;;;;;1398;1;year_1398;1;True;;1592;1;year_1592;1;True;;1571;2;2;True
;;;;;;;;;;;;1694;1;year_1694;1;True;;1744;1;year_1744;1;True;;1574;2;2;True
;;;;;;;;;;;;1726;1;year_1726;1;True;;1610;1;year_1610;1;True;;1492;2;2;True
;;;;;;;;;;;;1667;1;year_1667;1;True;;1564;1;year_1564;1;True;;1576;2;2;True
;;;;;;;;;;;;1727;1;year_1727;1;True;;1473;1;year_1473;1;True;;1632;2;2;True
;;;;;;;;;;;;1689;1;year_1689;1;True;;1788;1;year_1788;1;True;;1568;2;2;True
;;;;;;;;;;;;1130;1;year_1130;1;True;;1722;1;year_1722;1;True;;1696;2;2;True
;;;;;;;;;;;;1544;1;year_1544;1;True;;1668;1;year_1668;1;True;;1474;1;1;True
;;;;;;;;;;;;1578;1;year_1578;1;True;;1664;1;year_1664;1;True;;1591;1;1;True
;;;;;;;;;;;;1681;1;year_1681;1;True;;1697;1;year_1697;1;True;;1542;1;1;True
;;;;;;;;;;;;1549;1;year_1549;1;True;;1155;1;year_1155;1;True;;1343;1;1;True
;;;;;;;;;;;;1589;1;year_1589;1;True;;1641;1;year_1641;1;True;;1250;1;1;True
;;;;;;;;;;;;1532;1;year_1532;1;True;;5;1;year_5;1;True;;1180;1;1;True
;;;;;;;;;;;;1677;1;year_1677;1;True;;1651;1;year_1651;1;True;;1563;1;1;True
;;;;;;;;;;;;1506;1;year_1506;1;True;;1700;1;year_1700;1;True;;1508;1;1;True
;;;;;;;;;;;;1412;1;year_1412;1;True;;;;;;;;1493;1;1;True
;;;;;;;;;;;;1587;1;year_1587;1;True;;;;;;;;1586;1;1;True
;;;;;;;;;;;;1706;1;year_1706;1;True;;;;;;;;1350;1;1;True
;;;;;;;;;;;;2019;1;year_2019;1;True;;;;;;;;1283;1;1;True
;;;;;;;;;;;;1728;1;year_1728;1;True;;;;;;;;1600;1;1;True
;;;;;;;;;;;;1733;1;year_1733;1;True;;;;;;;;1621;1;1;True
;;;;;;;;;;;;2020;1;year_2020;1;True;;;;;;;;1648;1;1;True
;;;;;;;;;;;;163;1;year_163;1;True;;;;;;;;1503;1;1;True
;;;;;;;;;;;;95;1;year_95;1;True;;;;;;;;1375;1;1;True
;;;;;;;;;;;;46;1;year_46;1;True;;;;;;;;1313;1;1;True
;;;;;;;;;;;;69;1;year_69;1;True;;;;;;;;1321;1;1;True
;;;;;;;;;;;;1765;1;year_1765;1;True;;;;;;;;1265;1;1;True
;;;;;;;;;;;;1098;1;year_1098;1;True;;;;;;;;1660;1;1;True
;;;;;;;;;;;;1593;1;year_1593;1;True;;;;;;;;1606;1;1;True
;;;;;;;;;;;;1569;1;year_1569;1;True;;;;;;;;1594;1;1;True
;;;;;;;;;;;;770;1;year_770;1;True;;;;;;;;1530;1;1;True
;;;;;;;;;;;;1505;1;year_1505;1;True;;;;;;;;1748;1;1;True
;;;;;;;;;;;;1291;1;year_1291;1;True;;;;;;;;1613;1;1;True
;;;;;;;;;;;;1452;1;year_1452;1;True;;;;;;;;1560;1;1;True
;;;;;;;;;;;;1644;1;year_1644;1;True;;;;;;;;1730;1;1;True
;;;;;;;;;;;;1413;1;year_1413;1;True;;;;;;;;1561;1;1;True
;;;;;;;;;;;;1658;1;year_1658;1;True;;;;;;;;1220;1;1;True
;;;;;;;;;;;;1794;1;year_1794;1;True;;;;;;;;1150;1;1;True
;;;;;;;;;;;;1525;1;year_1525;1;True;;;;;;;;1716;1;1;True
;;;;;;;;;;;;1566;1;year_1566;1;True;;;;;;;;1504;1;1;True
;;;;;;;;;;;;1750;1;year_1750;1;True;;;;;;;;1676;1;1;True
;;;;;;;;;;;;1646;1;year_1646;1;True;;;;;;;;59;1;1;True
;;;;;;;;;;;;1654;1;year_1654;1;True;;;;;;;;1629;1;1;True
;;;;;;;;;;;;1636;1;year_1636;1;True;;;;;;;;1562;1;1;True
;;;;;;;;;;;;1633;1;year_1633;1;True;;;;;;;;1485;1;1;True
;;;;;;;;;;;;1657;1;year_1657;1;True;;;;;;;;1330;1;1;True
;;;;;;;;;;;;1420;1;year_1420;1;True;;;;;;;;1527;1;1;True
;;;;;;;;;;;;1581;1;year_1581;1;True;;;;;;;;1469;1;1;True
;;;;;;;;;;;;1335;1;year_1335;1;True;;;;;;;;1760;1;1;True
;;;;;;;;;;;;1558;1;year_1558;1;True;;;;;;;;1669;1;1;True
;;;;;;;;;;;;1524;1;year_1524;1;True;;;;;;;;1637;1;1;True
;;;;;;;;;;;;1577;1;year_1577;1;True;;;;;;;;37;1;1;True
;;;;;;;;;;;;1533;1;year_1533;1;True;;;;;;;;1471;1;1;True
;;;;;;;;;;;;1067;1;year_1067;1;True;;;;;;;;1414;1;1;True
;;;;;;;;;;;;1571;1;year_1571;1;True;;;;;;;;1479;1;1;True
;;;;;;;;;;;;1475;1;year_1475;1;True;;;;;;;;1656;1;1;True
;;;;;;;;;;;;1422;1;year_1422;1;True;;;;;;;;1031;1;1;True
;;;;;;;;;;;;1604;1;year_1604;1;True;;;;;;;;973;1;1;True
;;;;;;;;;;;;1616;1;year_1616;1;True;;;;;;;;1686;1;1;True
;;;;;;;;;;;;1645;1;year_1645;1;True;;;;;;;;1601;1;1;True
;;;;;;;;;;;;1626;1;year_1626;1;True;;;;;;;;1608;1;1;True
;;;;;;;;;;;;6;1;year_6;1;True;;;;;;;;1673;1;1;True
;;;;;;;;;;;;1511;1;year_1511;1;True;;;;;;;;1541;1;1;True
;;;;;;;;;;;;1095;1;year_1095;1;True;;;;;;;;1465;1;1;True
;;;;;;;;;;;;1599;1;year_1599;1;True;;;;;;;;65;1;1;True
;;;;;;;;;;;;21;1;year_21;1;True;;;;;;;;4;1;1;True
;;;;;;;;;;;;1632;1;year_1632;1;True;;;;;;;;1659;1;1;True
;;;;;;;;;;;;1631;1;year_1631;1;True;;;;;;;;1699;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1273;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1207;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1630;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1463;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1448;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1398;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1667;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;66;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1727;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1689;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1191;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1130;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1595;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1544;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1578;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1611;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1638;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1589;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1532;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1506;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1412;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1679;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1587;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1718;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1655;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;235;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;163;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;165;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;122;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;46;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;69;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1765;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1179;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1098;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1736;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1521;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;840;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;770;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1505;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1361;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1291;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1701;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1519;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1452;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1644;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1413;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1609;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1614;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1556;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1658;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1408;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1525;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1646;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1654;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1636;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1633;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1657;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1470;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1420;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1672;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1335;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;27;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1540;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;485;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1602;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1524;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1800;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1577;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1592;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1533;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1067;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1744;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1610;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1475;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1473;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1422;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1722;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;6;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1511;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1155;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1095;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1599;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;21;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;1651;1;1;True
;;;;;;;;;;;;;;;;;;;;;;;;2115;1;1;True
