kueri asal;kueri numerik;filter pertama
MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1);MATCH (n3:683,795) -[3,960,419]-[827,125]-> (n1:618,520), (n3:1,263,984) -[11,460,681]-[827,125]-> (n4:618,520), (n3:613,186) -[3,852,407]-[472,757]-> (n2:124,666) WHERE (n3.3,453,973 AND n4.110,667) RETURN count(n1);n2:thriller
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"MATCH (n3:613,186) -[42,086]-[45,518]-> (n2:618,520), (n3:560,717) -[27,118]-[45,518]-> (n1:618,520) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.230,219) RETURN count(n1)";n3:director
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"MATCH (n3:1,263,984) -[11,460,681]-[1,264,641]-> (n2:312,629), (n3:560,717) -[4,398,352]-[2,082,743]-> (n1:1,984,332), (n3:1,263,984) -[11,460,681]-[1,979,368]-> (n4:773,293) WHERE (n4.178,162 AND n3.name=""John Sayles"") RETURN count(n1)";n2:crime
MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama) WHERE (n4.birth=1877) OR (n4.death=1950) RETURN count(n1);MATCH (n4:683,795) -[3,960,419]-[5,776,115]-> (n3:1,479,294), (n4:1,263,984) -[11,460,681]-[8,160,487]-> (n1:1,984,332), (n4:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332) WHERE (n4.489) OR (n4.495) RETURN count(n1);n4:writer
"MATCH (n3:actor)-[:ACTED_IN]->(n2:animation), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n3.birth=1908) OR (n2.category=""short"") RETURN count(n1)";MATCH (n3:1,263,984) -[11,460,681]-[1,017,184]-> (n2:330,135), (n3:99,799) -[3,260,775]-[5,776,115]-> (n1:1,479,294) WHERE (n3.1,780) OR (n2.639,766) RETURN count(n1);n3:soundtrack
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";MATCH (n4:767,812) -[8,169,427]-[1,056,053]-> (n1:273,401), (n4:767,812) -[8,169,427]-[8,160,487]-> (n2:1,984,332), (n4:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332) WHERE (n3.492,210) OR (n4.3,529) RETURN count(n1);n1:adventure
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";"MATCH (n3:683,795) -[38,793]-[1,483]-> (n1:89,121), (n3:683,795) -[3,960,419]-[1,230,882]-> (n2:293,467) WHERE (n3.3,382) OR (n3.name=""Harrison Ford"") RETURN count(n1)";n1:sci_fi
"MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy) WHERE (n1.category=""tvSeries"") OR (n2.category=""movie"") RETURN count(n1)";MATCH (n3:228,889) -[1,338,470]-[8,160,487]-> (n1:1,984,332), (n3:228,889) -[1,338,470]-[5,776,115]-> (n2:1,479,294) WHERE (n1.162,227) OR (n2.492,210) RETURN count(n1);n3:miscellaneous
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama) WHERE (n1.category=""short"") OR (n3.category=""movie"") RETURN count(n1)";MATCH (n2:560,717) -[267,819]-[312,480]-> (n1:1,479,294), (n2:560,717) -[267,819]-[581,332]-> (n3:1,984,332) WHERE (n1.639,766) OR (n3.492,210) RETURN count(n1);n2:director
"MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary) WHERE (n2.category=""video"") OR (n3.category=""tvMovie"") RETURN count(n1)";MATCH (n1:560,717) -[562,157]-[65,930]-> (n4:130,261), (n1:613,186) -[2,464,941]-[243,383]-> (n2:618,520), (n1:683,795) -[1,853,560]-[435,655]-> (n3:618,520) WHERE (n2.265,757) OR (n3.116,975) RETURN count(n1);n4:horror
"MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music) WHERE (n4.category=""tvSeries"") OR (n1.category=""tvMovie"") RETURN count(n1)";MATCH (n3:767,812) -[8,169,427]-[1,199,835]-> (n1:356,267), (n3:99,799) -[3,260,775]-[1,199,835]-> (n2:356,267), (n3:767,812) -[8,169,427]-[1,199,835]-> (n4:356,267) WHERE (n4.162,227) OR (n1.116,975) RETURN count(n1);n3:soundtrack
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy) WHERE (n1.category=""video"") OR (n3.category=""video"") RETURN count(n1)";MATCH (n2:560,717) -[267,819]-[9,538]-> (n4:222,819), (n2:284,302) -[1,367,616]-[9,538]-> (n3:222,819), (n2:284,302) -[1,367,616]-[312,480]-> (n1:1,479,294) WHERE (n1.265,757) OR (n3.265,757) RETURN count(n1);n4:adult
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:soundtrack)-[:COMPOSED]->(n1:drama) WHERE (n3.death=2019) OR (n2.category=""movie"") RETURN count(n1)";MATCH (n3:76,607) -[955,171]-[152,376]-> (n2:618,520), (n3:99,799) -[628,532]-[531,594]-> (n1:1,984,332) WHERE (n3.3,124) OR (n2.492,210) RETURN count(n1);n3:music_department
"MATCH (n3:music_department)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:COMPOSED]->(n2:romance) WHERE (n2.year=1990) OR (n1.category=""tvSpecial"") RETURN count(n1)";MATCH (n3:76,607) -[608,627]-[1,199,835]-> (n1:356,267), (n3:99,799) -[628,532]-[127,344]-> (n2:644,609) WHERE (n2.36,334) OR (n1.26,082) RETURN count(n1);n3:music_department
"MATCH (n1:composer)-[:COMPOSED]->(n3:western), (n1:composer)-[:COMPOSED]->(n2:drama) WHERE (n3.year=1969) OR (n3.category=""movie"") RETURN count(n1)";MATCH (n1:248,066) -[1,413,197]-[9,330]-> (n3:26,970), (n1:248,066) -[1,413,197]-[531,594]-> (n2:1,984,332) WHERE (n3.21,786) OR (n3.492,210) RETURN count(n1);n3:western
"MATCH (n1:actress)-[:ACTED_IN]->(n3:sport), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary) WHERE (n3.year=1993) OR (n2.category=""video"") RETURN count(n1)";MATCH (n1:767,812) -[8,169,427]-[371,509]-> (n3:137,057), (n1:767,812) -[8,169,427]-[5,776,115]-> (n4:1,479,294), (n1:767,812) -[8,169,427]-[827,125]-> (n2:618,520) WHERE (n3.41,693) OR (n2.265,757) RETURN count(n1);n3:sport
"MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n4:producer)-[:ACTED_IN]->(n1:reality_tv) WHERE (n1.category=""tvSpecial"") OR (n2.year=0) RETURN count(n1)";MATCH (n3:1,263,984) -[11,460,681]-[731,951]-> (n1:338,752), (n3:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520), (n4:613,186) -[3,852,407]-[731,951]-> (n1:338,752) WHERE (n1.26,082) OR (n2.624,693) RETURN count(n1);n1:reality_tv
"MATCH (n2:writer)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director)-[:DIRECTED]->(n1:adult) WHERE (n2.name=""James Avalon"") OR (n2.death=0) RETURN count(n1)";"MATCH (n2:683,795) -[78,420]-[9,538]-> (n4:222,819), (n2:186,421) -[910,837]-[9,538]-> (n3:222,819), (n2:560,717) -[4,398,352]-[73,531]-> (n1:222,819) WHERE (n2.name=""James Avalon"") OR (n2.3,453,973) RETURN count(n1)";n4:adult
MATCH (n2:music_department)-[:ACTED_IN]->(n3:crime), (n2:music_department)-[:ACTED_IN]->(n1:romance) WHERE (n3.year=1981) OR (n2.death=2012) RETURN count(n1);MATCH (n2:76,607) -[608,627]-[1,264,641]-> (n3:312,629), (n2:76,607) -[608,627]-[2,907,409]-> (n1:644,609) WHERE (n3.24,159) OR (n2.2,953) RETURN count(n1);n2:music_department
MATCH (n4:director)-[:PRODUCED]->(n3:drama), (n4:producer)-[:DIRECTED]->(n1:drama), (n4:director)-[:PRODUCED]->(n2:documentary) WHERE (n1.year=1997) OR (n4.death=0) RETURN count(n1);MATCH (n4:560,717) -[562,157]-[996,207]-> (n3:1,984,332), (n4:613,186) -[1,743,713]-[2,082,743]-> (n1:1,984,332), (n4:560,717) -[562,157]-[243,383]-> (n2:618,520) WHERE (n1.57,892) OR (n4.3,453,973) RETURN count(n1);n2:documentary
"MATCH (n3:actor)-[:ACTED_IN]->(n2:documentary), (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:music) WHERE (n1.year=2007) OR (n3.name=""Jack Nicholson"") RETURN count(n1)";"MATCH (n3:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520), (n3:613,186) -[42,086]-[17,184]-> (n1:356,267) WHERE (n1.154,677) OR (n3.name=""Jack Nicholson"") RETURN count(n1)";n1:music
MATCH (n2:writer)-[:ACTED_IN]->(n3:music), (n2:producer)-[:PRODUCED]->(n1:thriller) WHERE (n1.year=2001) OR (n3.year=2016) RETURN count(n1);MATCH (n2:683,795) -[3,960,419]-[1,199,835]-> (n3:356,267), (n2:613,186) -[2,464,941]-[79,100]-> (n1:124,666) WHERE (n1.78,922) OR (n3.315,054) RETURN count(n1);n1:thriller
MATCH (n1:writer)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:director)-[:ACTED_IN]->(n3:comedy) WHERE (n3.year=1985) OR (n4.year=2008) RETURN count(n1);MATCH (n1:683,795) -[3,960,419]-[827,125]-> (n4:618,520), (n1:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520), (n1:560,717) -[2,315,792]-[5,776,115]-> (n3:1,479,294) WHERE (n3.29,538) OR (n4.166,310) RETURN count(n1);n1:director
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"MATCH (n3:76,607) -[955,171]-[152,376]-> (n2:618,520), (n3:76,607) -[955,171]-[152,376]-> (n1:618,520) WHERE (n3.name=""Philip Glass"" AND n3.3,043 AND n1.265,757) RETURN count(n1)";n3:music_department
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy) WHERE (n1.category=""movie"" AND n2.name=""John McDermott"" AND n2.birth=1893) RETURN count(n1)";"MATCH (n2:560,717) -[2,315,792]-[5,776,115]-> (n3:1,479,294), (n2:1,263,984) -[878,695]-[1,668,482]-> (n1:1,479,294) WHERE (n1.492,210 AND n2.name=""John McDermott"" AND n2.1,105) RETURN count(n1)";n2:director
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy) WHERE (n2.category=""movie"" AND n3.birth=0 AND n3.name=""Jorge Busto"") RETURN count(n1)";"MATCH (n3:21,987) -[11,327]-[390,703]-> (n1:1,984,332), (n3:228,889) -[117,573]-[390,703]-> (n4:1,984,332), (n3:257,000) -[1,326,183]-[274,400]-> (n2:1,479,294) WHERE (n2.492,210 AND n3.3,209,521 AND n3.name=""Jorge Busto"") RETURN count(n1)";n3:script_department
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war) WHERE (n4.birth=0 AND n4.name=""Guy Gonçalves"" AND n3.year=1997) RETURN count(n1)";"MATCH (n4:186,421) -[910,837]-[94,191]-> (n1:489,281), (n4:560,717) -[267,819]-[312,480]-> (n2:1,479,294), (n4:186,421) -[910,837]-[12,134]-> (n3:26,911) WHERE (n4.3,209,521 AND n4.name=""Guy Gonçalves"" AND n3.57,892) RETURN count(n1)";n3:war
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"MATCH (n1:767,812) -[60,446]-[43,237]-> (n2:222,819), (n1:228,889) -[1,338,470]-[783,767]-> (n3:222,819), (n1:767,812) -[8,169,427]-[783,767]-> (n4:222,819) WHERE (n1.4,463 AND n1.name=""Christy Canyon"" AND n4.52,210) RETURN count(n1)";n2:adult
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";MATCH (n3:99,799) -[3,260,775]-[8,160,487]-> (n2:1,984,332), (n3:99,799) -[3,260,775]-[5,776,115]-> (n1:1,479,294) WHERE (n1.492,210 AND n3.1,152 AND n2.492,210) RETURN count(n1);n3:soundtrack
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:producer)-[:ACTED_IN]->(n1:drama) WHERE (n3.category=""video"" AND n1.category=""movie"" AND n2.name=""Kevin Costner"") RETURN count(n1)";"MATCH (n2:99,799) -[3,260,775]-[827,125]-> (n3:618,520), (n2:613,186) -[3,852,407]-[8,160,487]-> (n1:1,984,332) WHERE (n3.265,757 AND n1.492,210 AND n2.name=""Kevin Costner"") RETURN count(n1)";n2:soundtrack
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n3.category=""short"" AND n2.name=""Steven Allen"" AND n1.category=""short"") RETURN count(n1)";"MATCH (n2:36,300) -[40,185]-[5,776,115]-> (n1:1,479,294), (n2:36,300) -[40,185]-[472,757]-> (n3:124,666), (n2:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) WHERE (n3.639,766 AND n2.name=""Steven Allen"" AND n1.639,766) RETURN count(n1)";n2:visual_effects
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n1.category=""movie"" AND n3.name=""Ellsworth Fredericks"" AND n4.category=""movie"") RETURN count(n1)";"MATCH (n3:284,302) -[1,367,616]-[581,332]-> (n1:1,984,332), (n3:284,302) -[1,367,616]-[50,177]-> (n4:124,666), (n3:186,421) -[910,837]-[91,877]-> (n2:312,629) WHERE (n1.492,210 AND n3.name=""Ellsworth Fredericks"" AND n4.492,210) RETURN count(n1)";n4:thriller
"MATCH (n3:producer)-[:EDITED]->(n1:documentary), (n3:editor)-[:EDITED]->(n2:documentary) WHERE (n1.category=""movie"" AND n1.year=2010 AND n2.category=""video"") RETURN count(n1)";MATCH (n3:613,186) -[210,501]-[239,358]-> (n1:618,520), (n3:257,000) -[1,326,183]-[239,358]-> (n2:618,520) WHERE (n1.492,210 AND n1.201,811 AND n2.265,757) RETURN count(n1);n3:producer
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n3:news) WHERE (n3.category=""video"" AND n2.category=""movie"" AND n2.year=1974) RETURN count(n1)";MATCH (n1:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332), (n1:1,263,984) -[11,460,681]-[859,718]-> (n3:408,975) WHERE (n3.265,757 AND n2.492,210 AND n2.23,132) RETURN count(n1);n3:news
"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy), (n1:actress)-[:ACTED_IN]->(n2:comedy), (n1:actress)-[:ACTED_IN]->(n4:comedy) WHERE (n3.year=1976 AND n2.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";MATCH (n1:767,812) -[8,169,427]-[5,776,115]-> (n3:1,479,294), (n1:767,812) -[8,169,427]-[5,776,115]-> (n2:1,479,294), (n1:767,812) -[8,169,427]-[5,776,115]-> (n4:1,479,294) WHERE (n3.22,926 AND n2.492,210 AND n3.492,210) RETURN count(n1);n1:actress
"MATCH (n3:producer)-[:ACTED_IN]->(n1:drama), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n3.death=0 AND n1.category=""movie"" AND n2.year=1988) RETURN count(n1)";MATCH (n3:613,186) -[3,852,407]-[8,160,487]-> (n1:1,984,332), (n3:560,717) -[2,315,792]-[8,160,487]-> (n2:1,984,332) WHERE (n3.3,453,973 AND n1.492,210 AND n2.32,144) RETURN count(n1);n3:director
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:mystery) WHERE (n3.year=2010 AND n1.death=0 AND n2.category=""movie"") RETURN count(n1)";MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332), (n1:767,812) -[8,169,427]-[589,673]-> (n2:149,470) WHERE (n3.201,811 AND n1.3,453,973 AND n2.492,210) RETURN count(n1);n2:mystery
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n2.year=1973 AND n3.name=""Hasan El-Emam"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:1,263,984) -[749,294]-[2,082,743]-> (n2:1,984,332), (n3:1,263,984) -[749,294]-[2,082,743]-> (n1:1,984,332) WHERE (n2.23,934 AND n3.name=""Hasan El-Emam"" AND n2.492,210) RETURN count(n1)";n3:actor
"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvMovie"" AND n3.year=1962 AND n2.year=1958) RETURN count(n1)";MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n2:1,984,332), (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332) WHERE (n3.116,975 AND n3.13,589 AND n2.13,055) RETURN count(n1);n1:actress
"MATCH (n4:actor)-[:ACTED_IN]->(n2:drama), (n4:soundtrack)-[:WROTE]->(n3:drama), (n4:director)-[:DIRECTED]->(n1:drama) WHERE (n1.year=1913 AND n2.year=1935 AND n3.category=""short"") RETURN count(n1)";MATCH (n4:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332), (n4:99,799) -[142,990]-[2,854,122]-> (n3:1,984,332), (n4:560,717) -[4,398,352]-[2,082,743]-> (n1:1,984,332) WHERE (n1.6,658 AND n2.2,304 AND n3.639,766) RETURN count(n1);n4:soundtrack
MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n4.year=2005 AND n3.year=2016 AND n1.death=0) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332), (n1:1,263,984) -[11,460,681]-[827,125]-> (n4:618,520), (n1:1,263,984) -[11,460,681]-[827,125]-> (n3:618,520) WHERE (n4.124,040 AND n3.315,054 AND n1.3,453,973) RETURN count(n1);n4:documentary
MATCH (n4:director)-[:DIRECTED]->(n3:adult), (n4:cinematographer)-[:DIRECTED]->(n1:adult), (n4:writer)-[:CINEMATOGRAPHER_OF]->(n2:adult) WHERE (n1.year=2005 AND n4.death=0 AND n2.year=2002) RETURN count(n1);MATCH (n4:560,717) -[4,398,352]-[73,531]-> (n3:222,819), (n4:284,302) -[352,706]-[73,531]-> (n1:222,819), (n4:683,795) -[78,420]-[9,538]-> (n2:222,819) WHERE (n1.124,040 AND n4.3,453,973 AND n2.82,362) RETURN count(n1);n2:adult
MATCH (n2:producer)-[:ACTED_IN]->(n3:romance), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n1.year=2019 AND n4.year=2008 AND n3.year=1999) RETURN count(n1);MATCH (n2:613,186) -[3,852,407]-[2,907,409]-> (n3:644,609), (n2:228,889) -[1,338,470]-[5,776,115]-> (n1:1,479,294), (n2:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) WHERE (n1.293,391 AND n4.166,310 AND n3.68,290) RETURN count(n1);n2:miscellaneous
"MATCH (n2:composer)-[:COMPOSED]->(n3:comedy), (n2:music_department)-[:COMPOSED]->(n1:animation) WHERE (n2.death=0) OR (n2.birth=0) OR (n3.category=""movie"") RETURN count(n1)";MATCH (n2:248,066) -[1,413,197]-[334,011]-> (n3:1,479,294), (n2:76,607) -[955,171]-[131,642]-> (n1:330,135) WHERE (n2.3,453,973) OR (n2.3,209,521) OR (n3.492,210) RETURN count(n1);n2:music_department
"MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy) WHERE (n3.birth=1899) OR (n1.category=""short"") OR (n3.name=""Robert Agnew"") RETURN count(n1)";"MATCH (n3:84,613) -[201,443]-[195,107]-> (n1:54,325), (n3:84,613) -[201,443]-[5,776,115]-> (n2:1,479,294) WHERE (n3.1,293) OR (n1.639,766) OR (n3.name=""Robert Agnew"") RETURN count(n1)";n1:musical
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi) WHERE (n1.birth=1954) OR (n3.category=""movie"") OR (n1.name=""Robert Carradine"") RETURN count(n1)";"MATCH (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n3:1,479,294), (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294), (n1:1,263,984) -[11,460,681]-[325,339]-> (n2:89,121) WHERE (n1.3,354) OR (n3.492,210) OR (n1.name=""Robert Carradine"") RETURN count(n1)";n2:sci_fi
"MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:reality_tv) WHERE (n3.birth=1964) OR (n2.category=""tvSeries"") OR (n1.year=2011) RETURN count(n1)";MATCH (n3:683,795) -[3,960,419]-[1,979,368]-> (n2:773,293), (n3:1,263,984) -[11,460,681]-[731,951]-> (n1:338,752) WHERE (n3.4,565) OR (n2.162,227) OR (n1.230,219) RETURN count(n1);n1:reality_tv
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance) WHERE (n4.category=""movie"") OR (n2.birth=1889) OR (n1.year=1934) RETURN count(n1)";MATCH (n2:284,302) -[1,367,616]-[91,877]-> (n3:312,629), (n2:284,302) -[1,367,616]-[54,276]-> (n1:356,267), (n2:284,302) -[1,367,616]-[118,989]-> (n4:644,609) WHERE (n4.492,210) OR (n2.1,022) OR (n1.2,301) RETURN count(n1);n1:music
"MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.birth=1947) OR (n2.year=1970) OR (n4.category=""movie"") RETURN count(n1)";MATCH (n1:99,799) -[628,532]-[531,594]-> (n4:1,984,332), (n1:99,799) -[628,532]-[21,975]-> (n3:76,749), (n1:99,799) -[628,532]-[334,011]-> (n2:1,479,294) WHERE (n1.4,050) OR (n2.21,686) OR (n4.492,210) RETURN count(n1);n3:biography
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n1.year=2013) OR (n1.category=""video"") OR (n3.birth=1977) RETURN count(n1)";MATCH (n3:767,812) -[8,169,427]-[472,757]-> (n2:124,666), (n3:613,186) -[3,852,407]-[1,199,835]-> (n1:356,267), (n3:767,812) -[8,169,427]-[8,160,487]-> (n4:1,984,332) WHERE (n1.274,407) OR (n1.265,757) OR (n3.5,926) RETURN count(n1);n2:thriller
"MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport) WHERE (n2.category=""tvSpecial"") OR (n3.category=""tvSpecial"") OR (n1.death=0) RETURN count(n1)";MATCH (n1:613,186) -[3,852,407]-[371,509]-> (n2:137,057), (n1:1,263,984) -[11,460,681]-[371,509]-> (n3:137,057), (n1:1,263,984) -[88,930]-[10,718]-> (n4:137,057) WHERE (n2.26,082) OR (n3.26,082) OR (n1.3,453,973) RETURN count(n1);n4:sport
"MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show) WHERE (n3.category=""tvSeries"") OR (n2.category=""tvSeries"") OR (n4.name=""Marcel Amont"") RETURN count(n1)";"MATCH (n4:99,799) -[3,260,775]-[1,199,835]-> (n3:356,267), (n4:1,263,984) -[11,460,681]-[1,199,835]-> (n2:356,267), (n4:1,263,984) -[11,460,681]-[1,979,368]-> (n1:773,293) WHERE (n3.162,227) OR (n2.162,227) OR (n4.name=""Marcel Amont"") RETURN count(n1)";n4:soundtrack
"MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""short"") OR (n1.category=""tvSeries"") OR (n3.year=2017) RETURN count(n1)";MATCH (n2:560,717) -[2,315,792]-[5,776,115]-> (n1:1,479,294), (n2:1,263,984) -[11,460,681]-[8,160,487]-> (n3:1,984,332) WHERE (n3.639,766) OR (n1.162,227) OR (n3.326,849) RETURN count(n1);n2:director
"MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary) WHERE (n1.death=2021) OR (n3.year=2018) OR (n2.category=""video"") RETURN count(n1)";MATCH (n1:228,889) -[1,338,470]-[273,944]-> (n3:95,891), (n1:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520) WHERE (n1.655) OR (n3.309,713) OR (n2.265,757) RETURN count(n1);n3:history
