kueri asal;kueri numerik;filter pertama
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"MATCH (n2:99,799) -[3,260,775]-[472,757]-> (n1:124,666), (n2:767,812) -[8,169,427]-[5,776,115]-> (n3:1,479,294) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";n2:soundtrack
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"MATCH (n3:767,812) -[8,169,427]-[8,160,487]-> (n1:1,984,332), (n3:767,812) -[8,169,427]-[472,757]-> (n2:124,666) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";n2:thriller
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"MATCH (n4:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520), (n4:99,799) -[3,260,775]-[1,199,835]-> (n3:356,267), (n4:99,799) -[3,260,775]-[5,776,115]-> (n1:1,479,294) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";n4:soundtrack
MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1);MATCH (n1:613,186) -[3,852,407]-[859,718]-> (n2:408,975), (n1:1,263,984) -[11,460,681]-[827,125]-> (n3:618,520) WHERE (n3.57,892) RETURN count(n1);n2:news
MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama) WHERE (n2.year=1999) RETURN count(n1);MATCH (n3:1,263,984) -[11,460,681]-[8,160,487]-> (n1:1,984,332), (n3:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332) WHERE (n2.68,290) RETURN count(n1);n3:actor
MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation) WHERE (n1.year=1973) RETURN count(n1);MATCH (n3:767,812) -[8,169,427]-[472,757]-> (n2:124,666), (n3:767,812) -[8,169,427]-[1,017,184]-> (n1:330,135) WHERE (n1.23,934) RETURN count(n1);n2:thriller
MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure) WHERE (n1.year=2008) RETURN count(n1);MATCH (n3:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332), (n3:1,263,984) -[749,294]-[249,591]-> (n1:273,401) WHERE (n1.166,310) RETURN count(n1);n1:adventure
MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.year=1915) RETURN count(n1);MATCH (n3:560,717) -[4,398,352]-[1,126,831]-> (n1:1,479,294), (n3:613,186) -[3,852,407]-[112,634]-> (n2:26,970) WHERE (n2.6,538) RETURN count(n1);n2:western
MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n1.year=2006) RETURN count(n1);MATCH (n3:683,795) -[3,960,419]-[559,487]-> (n1:155,302), (n3:560,717) -[2,315,792]-[8,160,487]-> (n2:1,984,332) WHERE (n1.139,569) RETURN count(n1);n1:fantasy
MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance) WHERE (n1.year=2004) RETURN count(n1);MATCH (n2:1,263,984) -[168,155]-[531,594]-> (n3:1,984,332), (n2:248,066) -[1,413,197]-[127,344]-> (n1:644,609) WHERE (n1.110,667) RETURN count(n1);n1:romance
